Question,Subject,Answer,A,B,C,D
বাংলাদেশে সবচেয়ে বেশি পাট উৎপন্ন হয় কোন জেলায়?,BANGLADESH-AFFAIRS,A,ফরিদপুর,রংপুর,জামালপুর,শেরপুর
বাংলাদেশে মোট আবাদযোগ্য জমির পরিমাণ-,BANGLADESH-AFFAIRS,,২ কোটি ৪০ লক্ষ একর,২ কোটি ৫০ লক্ষ একর,২ কোটি ২৫ লক্ষ একর,২ কোটি ২১ লক্ষ একর
‘গারো উপজাতি’ কোন জেলায় বাস করে?,BANGLADESH-AFFAIRS,C,পার্বত্য চট্টগ্রাম,সিলেট,ময়মনসিংহ,টাঙ্গাইল
২০১৮ সালে বাংলাদেশের Per capita GDP (nominal) কত?,BANGLADESH-AFFAIRS,,"$ ১,৭৫০ মার্কিন ডলার","$ ১,৭৫১ মার্কিন ডলার","$ ১,৭৫২ মার্কিন ডলার","$ ১,৭৫৩ মার্কিন ডলার"
বাংলাদেশের প্রথম আদমশুমারি অনুষ্ঠিত হয়-,BANGLADESH-AFFAIRS,C,১৯৭২ সালে,১৯৭৩ সালে,১৯৭৪ সালে,১৯৭৫ সালে
Inclusive Development Index (IDI)- এর ভিত্তিতে দক্ষিণ এশিয়ায় বাংলাদেশের স্থান কত?,BANGLADESH-AFFAIRS,B,প্রথম স্থান,দ্বিতীয় স্থান,তৃতীয় স্থান,চতুর্থ স্থান
২০১৮ সালে বাংলাদেশের মোট রপ্তানি আয় কত?,BANGLADESH-AFFAIRS,B,$ ৪০ বিলিয়ন মার্কিন ডলার,$ ৪১ বিলিয়ন মার্কিন ডলার,$ ৪২ বিলিয়ন মার্কিন ডলার,$ ৪৩ বিলিয়ন মার্কিন ডলার
Alliance যে দেশভিত্তিক গার্মেন্টস ব্রান্ডগুলোর সংগঠন-,BANGLADESH-AFFAIRS,B,যুক্তরাজ্যের,যুক্তরাষ্ট্রের,কানাডার,ইউরোপিয়ান ইউনিয়নের
২০১৮ সালে বাংলাদেশের GDP- তে শিল্প খাতের অবদান কত শতাংশ ছিল?,BANGLADESH-AFFAIRS,D,২৯.৬৬%,৩০.৬৬%,৩২.৬৬%,৩৩.৬৬%
২০১৮-১৯ অর্থবছরে রপ্তানি প্রণোদনা রাখা হয়েছে-,BANGLADESH-AFFAIRS,A,সাড়ে ৪ হাজার কোটি টাকা,সাড়ে ৫ হাজার কোটি টাকা,সাড়ে ৩ হাজার কোটি টাকা,সাড়ে ৬ হাজার কোটি টাকা
বাংলাদেশে প্রথম ভ্যাট (VAT) চালু হয়-,BANGLADESH-AFFAIRS,A,১৯৯১ সালে,১৯৭৩ সালে,১৯৮৬ সালে,১৯৯৬ সালে
সংবিধানের কোন সংশোধনকে ‘First distortion of constitution’ বলে আখ্যায়িত করা হয়?,BANGLADESH-AFFAIRS,A,৫ম সংশোধন,৪র্থ সংশোধন,৩য় সংশোধন,২য় সংশোধন
স্বাধীনতার ঘোষণাপত্র সংবিধানের কততম তফসিলে সংযোজন করা হয়েছে?,BANGLADESH-AFFAIRS,D,চতুর্থ,পঞ্চম,ষষ্ঠ,সপ্তম
গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান প্রবর্তিত হয়-,BANGLADESH-AFFAIRS,B,"১৭ এপ্রিল, ১৯৭১","১৬ ডিসেম্বর, ১৯৭২","৭ মার্চ, ১৯৭২","২৬ মার্চ, ১৯৭৩"
সংবিধানের কোন অনুচ্ছেদে ‘সরকারি কর্ম কমিশন’ (PSC) গঠনের উল্লেখ আছে?,BANGLADESH-AFFAIRS,A,১৩৭ নং অনুচ্ছেদে,১৩৫ নং অনুচ্ছেদে,১৩৮ নং অনুচ্ছেদে,১৩৪ নং অনুচ্ছেদে
আওয়ামী লীগের ৬-দফা পেশ করা হয়েছিল-,BANGLADESH-AFFAIRS,A,১৯৬৬ সালে,১৯৬৭ সালে,১৯৬৮ সালে,১৯৬৯ সালে
বঙ্গবন্ধুসহ আগরতলা ষড়যন্ত্র মামলায় মোট আসামি সংখ্যা ছিল কত জন?,BANGLADESH-AFFAIRS,B,৩৪ জন,৩৫ জন,৩৬ জন,৩২ জন
আইন ও সালিশ কেন্দ্র কি ধরনের সংস্থা?,BANGLADESH-AFFAIRS,B,অর্থনৈতিক,মানবাধিকার,ধর্মীয়,খেলাধুলা
Almond ও Powel চাপ সৃষ্টিকারী গোষ্ঠীকে বিভক্ত করেছেন-,BANGLADESH-AFFAIRS,B,৩ ভাগে,৪ ভাগে,৫ ভাগে,৬ ভাগে
বাংলাদেশ জাতিসংঘের-,BANGLADESH-AFFAIRS,B,১৪৬তম সদস্য,১৩৬তম সদস্য,১২৬তম সদস্য,১১৬তম সদস্য
বাংলাদেশে প্রথম জাতীয় সংসদের নির্বাচন হয়-,BANGLADESH-AFFAIRS,C,"৭ ফেব্রুয়ারি, ১৯৭৩","৭ জানুয়ারি, ১৯৭৩","৭ মার্চ, ১৯৭৩","৭ এপ্রিল, ১৯৭৩"
তৃণমূল পর্যায়ে স্বাস্থ্য সেবা নিশ্চিত করতে কমিউনিটি ক্লিনিক চালু করা হয়-,BANGLADESH-AFFAIRS,C,১৩ হাজার ১২৫টি,১৩ হাজার ১৩০টি,১৩ হাজার ১৩৬টি,১৩ হাজার ১৪৬টি
‘Let there be Light’- বিখ্যাত ছবিটি পরিচালনা করেন-,BANGLADESH-AFFAIRS,B,আমজাদ হোসেন,জহির রায়হান,খান আতাউর রহমান,শেখ নিয়ামত আলী
যুক্তরাষ্ট্রের Guantanamo Bay Detention Camp কোথায় অবস্থিত?,INTERNATIONAL-AFFAIRS,C,ফ্লোরিডা,হাইতি,কিউবা,জ্যামাইকা
টেকসই উন্নয়ন সংক্রান্ত ২০৩০ এজেন্ডা (The 2030 Agenda for Sustainable Development)– তে কয়টি লক্ষ্য (goal) রয়েছে।,INTERNATIONAL-AFFAIRS,B,১৫,১৭,২১,২৭
জাতিসংঘ কোন সালে মানবাধিকার সংক্রান্ত বৈশ্বিক ঘোষণার ঐতিহাসিক নথিটি গ্রহণ করে?,INTERNATIONAL-AFFAIRS,A,১৯৪৮,১৯৫৬,১৯৪৫,২০০০
মিনস্ক নিচের কোন দেশের রাজধানী?,INTERNATIONAL-AFFAIRS,D,তাজাকিস্তান,আজারবাইজান,পর্তুগাল,বেলারুশ
সর্বশেষ মিউনিখ নিরাপত্তা সম্মেলন কোন সালের কোন মাসে অনুষ্ঠিত হয়েছে?,INTERNATIONAL-AFFAIRS,,"সেপ্টেম্বর, ২০১৮","মার্চ, ২০১৯","ফেব্রুয়ারি, ২০১৯","ডিসেম্বর, ২০১৮"
‘V20’ গ্রুপ কিসের সাথে সম্পর্কিত?,INTERNATIONAL-AFFAIRS,C,কৃষি উন্নয়ন,দারিদ্র বিমোচন,জলবায়ু পরিবর্তন,বিনিয়োগ সম্পর্কিত
জাতিসংঘ সমুদ্র আইন কত সালে স্বাক্ষরিত হয়েছিল?,INTERNATIONAL-AFFAIRS,B,১৯৭৯ সালে,১৯৮২ সালে,১৯৮৩ সালে,১৯৯৮ সালে
"বিশ্বের সর্বশেষ জলবায়ু সম্মেলন (ডিসেম্বর, ২০১৮) কোথায় অনুষ্ঠিত হয়?",INTERNATIONAL-AFFAIRS,A,"কাটোউইস, পোল্যান্ড","প্যারিস, ফ্রান্স","রোম, ইতালি","বেইজিং, চীন"
Sunshine Policy- এর সাথে কোন দুটি দেশ জড়িত?,INTERNATIONAL-AFFAIRS,B,"চীন, রাশিয়া","উত্তর কোরিয়া, দক্ষিণ কোরিয়া","জাপান, থাইল্যান্ড","তাইওয়ান, হংকং"
BRICS কর্তৃক প্রতিষ্ঠিত ব্যাংকের নাম হচ্ছে-,INTERNATIONAL-AFFAIRS,A,New Development Bank (NDB),BRICS Development Bank (BDB),Economic Development Bank (EDB),International Commercial Bank (ICB)
চীন নিচের কোন আফ্রিকান দেশটিতে সামরিক ঘাঁটি স্থাপনের মাধ্যমে কৌশলগত সম্পর্ক স্থাপন করেছে?,INTERNATIONAL-AFFAIRS,D,ইথিওপিয়া,জাম্বিয়া,লাইবেরিয়া,জিবুতি
"পাকিস্তান নিয়ন্ত্রিত কাশ্মীরের কোন অংশে ভারত সম্প্রতি (ফেব্রুয়ারি, ২০১৯) সামরিক বিমান হামলা পরিচালনা করে?",INTERNATIONAL-AFFAIRS,B,এবোটাবাদ,বালাকোট,কোয়েটা,গিলগিট
নিচের কোন দেশে ২০২২ সালে G-20 বাৎসরিক সম্মেলন অনুষ্ঠিত হবে?,INTERNATIONAL-AFFAIRS,C,ইতালি,যুক্তরাষ্ট্র,ভারত,ব্রাজিল
‘দ্যা আইডিয়া অব জাস্টিস’ – গ্রন্থের রচয়িতা কে?,INTERNATIONAL-AFFAIRS,C,মার্থা ন্যুসবাম,জোসেফ স্টিগলিটজ,অমর্ত্য সেন,জন রাউলস
শ্রীলংকার কোন সমুদ্রবন্দর চীনের নিকট ৯৯ বছরের জন্য লীজ দেয়া হয়েছে?,INTERNATIONAL-AFFAIRS,B,ত্রিঙ্কোমালী,হাম্বানটোটা,গল বন্দর,পোর্ট অব কলম্বো
নিচের কোন সংস্থাটির সচিবালয় বাংলাদেশে অবস্থিত?,INTERNATIONAL-AFFAIRS,A,BIMSTEC,CICA,IORA,SAARC
নিচের কোন সংস্থাটির স্থায়ী সদর দপ্তর নেই?,INTERNATIONAL-AFFAIRS,B,NATO,NAM,EU,ASEAN
জাতিসংঘ বিষয়ক আলোচনায় পি৫ (P5) বলতে কি বুঝায়?,INTERNATIONAL-AFFAIRS,A,নিরাপত্তা পরিষদের পাঁচটি স্থায়ী সদস্য রাষ্ট্র,পাঁচটি পরমাণু শক্তিধর রাষ্ট্র,পাঁচটি জাতিসংঘ সংস্থা,উপরের কোনটিই নয়
কোন দেশটি ইউরোপের বাল্টিক অঞ্চলে অবস্থিত নয়?,INTERNATIONAL-AFFAIRS,C,ফিনল্যান্ড,পোল্যান্ড,অস্ট্রিয়া,সুইডেন
OIC– এর কততম শীর্ষ সম্মেলনে বঙ্গবন্ধু শেখ মুজিবুর রহমান অংশগ্রহণ করেন?,INTERNATIONAL-AFFAIRS,A,২য় শীর্ষ সম্মেলন,৫ম শীর্ষ সম্মেলন,৪র্থ শীর্ষ সম্মেলন,৭ম শীর্ষ সম্মেলন
নিচের কোনটি পাললিক শিলা?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,মার্বেল,কয়লা,গ্রানাইট,নিস
নিচের কোনটি বৃহৎ স্কেল মানচিত্র?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,A,"১: ১০,০০০","১: ১০০,০০০","১:১০০০,০০০","১: ২৫০০,০০০"
সমবৃষ্টিপাত সম্পন্ন স্থানসমূহকে যোগকারী রেখাকে বলা হয়-,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,আইসোথার্ম,আইসোবার,আইসোহাইট,আইসোহেলাইন
বাংলাদেশের লাউয়াছড়া জাতীয় উদ্যান কী ধরনের বনভূমি?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,A,"ক্রান্তীয় চিরহরিৎ, আধা-চিরহরিৎ জাতীয়",ক্রান্তীয় আর্দ্র পত্র পতনশীল জাতীয়,পত্র পতনশীল জাতীয়,ম্যানগ্রোভ জাতীয়
বাংলাদেশে সংঘটিত বন্যার রেকর্ড অনুযায়ী (১৯৭১-২০০৭) কোন সালের বন্যায় সবচেয়ে বেশি এলাকা প্লাবিত হয়?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,১৯৭৪,১৯৮৮,১৯৯৮,২০০৭
সার্ক দুর্যোগ ব্যবস্থাপনা কেন্দ্র কোথায় অবস্থিত?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,A,নয়াদিল্লি,কলম্বো,ঢাকা,কাঠমুণ্ডু
নিচের কোনটি জলজ উদ্ভিদ নয়?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,D,হিজল,করচ,ডুমুর,গজারী
নিচের কোনটি মানবসৃষ্ট আপদ (hazard) নয়?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,D,বায়ু দূষণ,দুর্ভিক্ষ,মহামারী,কালবৈশাখী (Norwester)
বাংলাদেশের অর্থনৈতিক সেক্টরগুলোর মধ্যে কোন খাতে বেশি কর্মসংস্থান হয়?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,নির্মাণ খাত,কৃষি খাত,সেবা খাত,শিল্প কারখানা খাত
বাংলাদেশের উপকূলীয় সমভূমিতে বসবাসকারী জনগোষ্ঠী যে ধরনের বন্যা কবলিত হয় তার নাম-,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,D,নদীজ বন্যা,আকস্মিক বন্যা,বৃষ্টিজনিত বন্যা,জলোচ্ছ্বাসজনিত বন্যা
\({^{35}_{17}\mathrm{Cl}}\) মৌলের নিউট্রন সংখ্যা কত?,GENERAL-SCIENCE,B,17,18,35,70
কোনো কঠিন পদার্থ বিশুদ্ধ নাকি অবিশুদ্ধ তা কিসের মাধ্যমে নির্ণয় করা যায়?,GENERAL-SCIENCE,C,ঘনীভবন,বাষ্পীভবন,গলনাঙ্ক,স্ফুটনাঙ্ক
অ্যানোডে কোন বিক্রিয়া সম্পন্ন হয়?,GENERAL-SCIENCE,A,জারণ,বিজারণ,প্রশমন,পানিযোজন
একটি বাল্বে ‘60 W-220 V’ লেখা আছে। বাল্বটির রোধ কত ওহম (Ohm)?,GENERAL-SCIENCE,D,16.36,160,280,806.67
নবায়নযোগ্য জ্বালানির উৎস-,GENERAL-SCIENCE,D,তেল,গ্যাস,কয়লা,বায়োগ্যাস
"কার্বোহাইড্রোডে C,H এবং O – এর অনুপাত কত?",GENERAL-SCIENCE,B,১ : ১ : ২,১: ২: ১,১ : ৩ : ২,১ : ৩ : ১
AC কে DC করার যন্ত্র-,GENERAL-SCIENCE,A,রেকটিফায়ার,অ্যামপ্লিফায়ার,ট্রান্সজিস্টর,ডায়োড
বিদ্যুৎ শক্তিকে শব্দ শক্তিতে রূপান্তরিত করা হয় কোন যন্ত্রের মাধ্যমে-,GENERAL-SCIENCE,A,লাউড স্পিকার,অ্যামপ্লিফায়ার,জেনারেটর,মাল্টিমিটার
বাতাসের আর্দ্রতা মাপার যন্ত্রের নাম কি?,GENERAL-SCIENCE,B,মাইক্রোমিটার,হাইগ্রোমিটার,ব্যারোমিটার,গ্রাভিমিটার
কোথায় সাঁতার কাটা সহজ?,GENERAL-SCIENCE,D,পুকুরে,খালে,নদীতে,সাগরে
ডিমে কোন ভিটামিন নেই?,GENERAL-SCIENCE,C,ভিটামিন-এ,ভিটামিন-বি,ভিটামিন-সি,ভিটামিন-ডি
কোনটির জন্য পুষ্প রঙ্গিন ও সুন্দর হয়?,GENERAL-SCIENCE,A,ক্রোমোপ্লাস্ট,ক্লোরোপ্লাস্ট,ক্রোমোটোপ্লাস্ট,লিউকোপ্লাস্ট
সোডিয়াম এসিটেটের সংকেত-,GENERAL-SCIENCE,C,\[\mathrm {CH_2 COONa}\],\[\mathrm {(CH_3 COO)_2 Ca}\],\[\mathrm {CH_3 COONa}\],\[\mathrm {CHCOONa}\]
ক্যান্সার চিকিৎসায় ব্যবহৃত গামা বিকিরণের উৎস কি?,GENERAL-SCIENCE,B,আইসোটোন,আইসোটোপ,আইসোবার,আইসোমার
খাদ্য তৈরির জন্য উদ্ভিদ বায়ু থেকে গ্রহণ করে-,GENERAL-SCIENCE,B,অক্সিজেন,কার্বন-ডাই-অক্সাইড,নাইট্রোজেন,জলীয় বাষ্প
মুদ্রিত লেখা সরাসরি ইনপুট নেয়ার জন্য নীচের কোনটি ব্যবহৃত হয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,OMR,OCR,MICR,Scanner
নিচের কোন প্রোগ্রামটি একটি সম্পূর্ণ কম্পিউটার প্রোগ্রোমকে একবারে অনুবাদ ও সম্পাদন করে?,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,Interpreter,Emulator,Compiler,Simulator
নিচের কোনটি একই সাথে ইনপুট ও আউটপুট হিসেবে কাজ করে?,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,Mouse,Microphone,Touch Screen,Printer
নিচের কোনটি Octal number নয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,A,19,77,15,101
একটি রিলেশনাল ডাটাবেস মডেলে নিচের কোনটি দ্বারা Relation প্রকাশ করা হয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,Tuples,Attributes,Tables,Rows
Bluetooth কিসের উদাহরণ?,COMPUTER-AND-INFORMATION-TECHNOLOGY,A,Personal Area Network,Local Area Network,Virtual Private Network,কোনটিই নয়
মোবাইল ফোনে কোন Mode- এ যোগাযোগ হয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,Simplex,Half-duplex,Full-duplex,কোনটিই নয়
Time-shared OS –এর জন্য কোন scheduling policy সবচেয়ে ভাল?,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,First come first serve,Round-robin,Shortest job first,Last come first serve
নিচের কোনটি \(52_{(16)}\) এর বাইনারী রূপ?,COMPUTER-AND-INFORMATION-TECHNOLOGY,A,\[01010010_{(2)}\],\[01110011_{(2)}\],\[00001100_{(2)}\],\[11110000_{(2)}\]
প্রথম Web browser কোনটি?,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,Netscape Navigator,World Wide Web,Internet Explorer,Safari
Social Networking Site- এ যোগাযোগে কোন media ব্যবহৃত হয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,D,Image/Video,Audio,Text,উপরের সবগুলো
Firewall কি protection দেবার জন্য ব্যবহৃত হয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,Fire attacks,Unauthorized access,Virus attacks,Data-driven attacks
TV remote এর Carrier Frequency –র range কত?,COMPUTER-AND-INFORMATION-TECHNOLOGY,D,<100 MHZ,<1 GHZ,< 2 GHZ,Infrared-red range এর
CPU কোন address generate করে?,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,Physical address,Logical address,Both physical and logical address,উপরের কোনটি নয়
H.323 Protocol সাধারণত কি কাজে ব্যবহৃত হয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,File transfer,VoIP,Data Security,File download
নিচের কোনটি অমূলদ সংখ্যা?,MATHEMATICAL-REASONING,,\[0.4^ ̇ \],\[{\sqrt{9} }\],\[5.6^ ̇39^ ̇ \],\[{\sqrt{27 \over48}}\]
"নিচের কোন পূর্ণ সংখ্যাটিকে ৩, ৪, ৫ এবং ৬ দ্বারা ভাগ করলে যথাক্রমে ১, ২, ৩ ও ৪ অবশিষ্ট থাকে?",MATHEMATICAL-REASONING,C,৪৮,৫৪,৫৮,৬০
"পনির ও তপনের আয়ের অনুপাত 4:3 । তপন ও রবিনের আয়ের অনুপাত 5:4 । পনিরের আয় 120 টাকা হলে, রবিনের আয় কত?",MATHEMATICAL-REASONING,C,36 টাকা,12 টাকা,72 টাকা,48 টাকা
৪৫০ টাকা বার্ষিক ৬% সুদে কত বছরে সুদে- আসলে ৫৫৮ টাকা হবে?,MATHEMATICAL-REASONING,B,৩ বছরে,৪ বছরে,৫ বছরে,৬ বছরে
"একটি মটর সাইকেল ১২% ক্ষতিতে বিক্রি করা হলো। যদি বিক্রয় মূল্য ১২০০ টাকা বেশি হতো, তাহলে ৮% লাভ হতো। মটর সাইকেলের ক্রয় মূল্য-",MATHEMATICAL-REASONING,A,৬০০০ টাকা,৫০০০ টাকা,৪০০০ টাকা,৮০০০ টাকা
\({(০.৯)^৩+(০.৪)^৩}\over{০.৯+০.৪}\) এর মান কত?,MATHEMATICAL-REASONING,D,০.৩৬,০.৫১,০.৮১,০.৬১
\(\mathrm{3x-2>2x-1}\) এর সমাধান সেট কোনটি?,MATHEMATICAL-REASONING,B,"[ 1,∞ )","( 1,∞ )","\([{1\over2},∞) \)","[-1,∞ )"
\(\mathrm{6x^2-7x-4=0}\) সমীকরণে মূলদ্বয়ের প্রকৃতি কোনটি?,MATHEMATICAL-REASONING,B,বাস্তব ও সমান,বাস্তব ও অসমান,অবাস্তব,পূর্ণ বর্গ সংখ্যা
"যদি \(\mathrm{x^4-x^2+1=0}\) হয়, তবে \(\mathrm{x^3+{1\over{x^3}} = ?}\)",MATHEMATICAL-REASONING,D,3,2,1,0
"\(\mathrm{{x^{x^{\sqrt x}}}={(x\sqrt x)^x}}\) হলে, \(\mathrm{x}\) এর মান কত?",MATHEMATICAL-REASONING,C,\(\frac 32\),\(\frac 45\),\(\frac 94\),\(\frac 23\)
কোন শর্তে \(\mathrm {log_a^1}=0?\),MATHEMATICAL-REASONING,A,"a> 0,a≠1","a≠0,a>1","a>0,a=1","a≠1,a<0"
,MATHEMATICAL-REASONING,D,90°,55°,45°,35°
"\(\mathrm{P=\{x:x,12}\) এর গুণনীয়কসমূহ} এবং \( \mathrm{Q=\{x:x,3}\) এর গুণিতক এবং \(\mathrm{x≤12\}}\) হলে, \(\mathrm{P-Q}\) কত?",MATHEMATICAL-REASONING,A,"{1,2,4}","{1,,3,4}","{1,3,6}","{1,2,6}"
\(\mathrm{cos(⁡{nπ\over2})}\) অনুক্রমটির চতুর্থ পদ কোনটি?,MATHEMATICAL-REASONING,B,-1,1,\(\frac 12\),0
৬ জন খেলোয়াড়কে সমান সংখ্যক দুইটি দলে কত ভাবে বিভক্ত করা যায়?,MATHEMATICAL-REASONING,B,১০,২০,৬০,১২০
শুদ্ধ বানান কোনটি?,MENTAL-ABILITY,A,অধোগতি,অধঃগতি,অধগতি,অধোঃগতি
সঠিক বানান কোনটি?,MENTAL-ABILITY,A,Indwelling,Indwling,Indweling,Indeulling
বাংলা ‘ব্যঞ্জনবর্ণ’- মালায় ‘ম’ অক্ষরটির পূর্বের পঞ্চম অক্ষরটি কী?,MENTAL-ABILITY,B,‘ধ’,‘ন’,‘প’,‘ল’
"যদি ABC = ZYX হয়, তবে GIVV= ?",MENTAL-ABILITY,C,TERE,TEER,TREE,FREE
‘UNICEF’ এর আয়নায় প্রতিবিম্ব কোনটি হবে?,MENTAL-ABILITY,B,,,,
"রাস্তার সমান করার রোলার সরাবার জন্য সহজ হবে, যদি রোলারকে-",MENTAL-ABILITY,B,ঠেলে নিয়ে যাওয়া হয়,টেনে নিয়ে যাওয়া হয়,তুলে নিয়ে যাওয়া হয়,সমান সহজ হয়
.১×.০১×.০০১= ?,MENTAL-ABILITY,D,১.০০০১,.১০০০১,.০০০০১,.০০০০০১
যদি চ × G = ৪২ হয় তবে J × ট =?,MENTAL-ABILITY,,১২০,৯২,১১৫,১১০
,MENTAL-ABILITY,A,,,,
,MENTAL-ABILITY,B,,,,
,MENTAL-ABILITY,D,,,,
কোন শব্দগুচ্ছ শুদ্ধ?,MENTAL-ABILITY,D,"আয়ত্তাধীন, অহোরাত্রি, অদ্যপি","গড্ডালিকা, চিন্ময়, কল্যান","গৃহন্ত, গণনা, ইদানিং","আবশ্যক, মিথস্ক্রিয়া, গীতালি"
,MENTAL-ABILITY,B,১২০,১৪০,১৬০,৮০
"একজন ব্যক্তি ভ্রমণে ৪ মাইল উত্তরে, ১২ মাইল পূর্বে, তারপর আবার ১২ মাইল উত্তরে যায়। সে শুরুর স্থান থেকে কত মাইল দূরে?",MENTAL-ABILITY,D,১৭,২৮,২১,২০
"ঢাকা থেকে হংকং হয়ে প্লেন নিউইয়র্ক যাওয়ার সময় দিনের সময় কালকে অপেক্ষাকৃত ছোট মনে হয়, কেন?",MENTAL-ABILITY,B,পৃথিবী পশ্চিম দিকে ঘুরছে বলে,পৃথিবী সূর্যের চারদিকে ঘুরছে বলে,এক্ষেত্রে এসব ঘূর্ণনের কোন প্রভাব নেই,অন্য কোন কারণ আছে
বাংলাদেশে ‘নব-নৈতিকতা’র প্রবর্তক হলেন-,ETHICS-VALUES-GOOD-GOVERNANCE,C,মোহাম্মদ বরকতুল্লা,জি.সি. দেব,আরজ আলী মাতুব্বর,আবদুল মতীন
"‘আমরা যে সমাজেই বসবাস করি না কেন, আমরা সকলেই ভালো নাগরিক হওয়ার প্রত্যাশা করি’। এটি-",ETHICS-VALUES-GOOD-GOVERNANCE,B,নৈতিক অনুশাসন,রাজনৈতিক ও সামাজিক অনুশাসন,আইনের শাসন,আইনের অধ্যাদেশ
সভ্য সমাজের মানদণ্ড হলো-,ETHICS-VALUES-GOOD-GOVERNANCE,D,গণতন্ত্র,বিচার ব্যবস্থা,সংবিধান,আইনের শাসন
‘বিপরীত বৈষম্য’ –এর নীতিটি প্রয়োগ করা হয়-,ETHICS-VALUES-GOOD-GOVERNANCE,B,নারীদের ক্ষেত্রে,সংখ্যালঘুদের ক্ষেত্রে,প্রতিবন্ধীদের ক্ষেত্রে,পিছিয়ে পড়া জনগোষ্ঠীর ক্ষেত্রে
মূল্যবোধ হলো-,ETHICS-VALUES-GOOD-GOVERNANCE,B,মানুষের সঙ্গে মানুষের পারস্পরিক সম্পর্ক নির্ধারণ,মানুষের আচরণ পরিচালনাকারী নীতি ও মানদণ্ড।,সমাজজীবনে মানুষের সুখী হওয়ার প্রয়োজনীয় উপাদান,মানুষের প্রাতিষ্ঠানিক কার্যাবলীর দিক নির্দেশনা
জাতিসংঘের অভিমত অনুসারে সুশাসনের লক্ষ্য ও উদ্দেশ্য হলো-,ETHICS-VALUES-GOOD-GOVERNANCE,C,দারিদ্র বিমোচন,মৌলিক অধিকার রক্ষা,মৌলিক স্বাধীনতার উন্নয়ন,নারীদের উন্নয়ন ও সুরক্ষা
সুশাসন প্রতিষ্ঠায় নাগরিকের কর্তব্য হলো-,ETHICS-VALUES-GOOD-GOVERNANCE,D,সরকার পরিচালনায় সাহায্য করা,নিজের অধিকার ভোগ করা,সৎভাবে ব্যবসা-বাণিজ্য করা,নিয়মিত কর প্রদান করা
মূল্যবোধের চালিকা শক্তি হলো-,ETHICS-VALUES-GOOD-GOVERNANCE,C,উন্নয়ন,গণতন্ত্র,সংস্কৃতি,সুশাসন
অর্থনৈতিক ক্ষেত্রে সুশাসন প্রতিষ্ঠিত হলে-,ETHICS-VALUES-GOOD-GOVERNANCE,B,দুর্নীতি দূর হয়,বিনিয়োগ বৃদ্ধি পায়,আইনের শাসন,প্রতিষ্ঠিত হয়
তথ্য পাওয়া মানুষের কী ধরনের অধিকার?,ETHICS-VALUES-GOOD-GOVERNANCE,C,রাজনৈতিক,অর্থনৈতিক,মৌলিক,সামাজিক
আন্তর্জাতিক বিচার আদালত রোহিঙ্গা গণহত্যা বিষয়ক অন্তর্বর্তীকালীন রায়ে মিয়ানমারকে কয়টি নির্দিষ্ট ব্যবস্থা গ্রহণের কথা বলেছে?,INTERNATIONAL-AFFAIRS,D,৩টি,২টি,৫টি,৪টি
কোন দুটি দেশের মধ্যে সীমান্ত বিরোধ নিষ্পত্তির জন্য ২০১৯ সালে নোবেল শান্তি পুরস্কার দেয়া হয়?,INTERNATIONAL-AFFAIRS,C,ক্যামেরুন এবং ইথিওপিয়া,পেরু এবং ভেনেজুয়েলা,ইথিওপিয়া এবং ইরিত্রিয়া,মালি ও সেনেগাল
ব্রিটিশ ভারতের রাজধানী কলকাতা থেকে দিল্লীতে স্থানান্তরিত হয় কত সালে?,INTERNATIONAL-AFFAIRS,A,১৯১২ সালে,১৯১৩ সালে,১৯১৪ সালে,১৯১৫ সালে
আন্তর্জাতিক মুদ্রা তহবিল কোন সালে গঠিত হয়?,INTERNATIONAL-AFFAIRS,A,১৯৪৪ সালে,১৯৪৫ সালে,১৯৪৮ সালে,১৯৪৯ সালে
